Bookie,Frequency,Percentage,Funds
MelBet,25,0.35714285714285715,557.1428571428571
Suprabets,6,0.08571428571428572,133.71428571428572
MostBet,11,0.15714285714285714,245.14285714285714
PS3838,3,0.04285714285714286,66.85714285714286
SboBet,16,0.22857142857142856,356.57142857142856
EveryGame (Intertops),5,0.07142857142857142,111.42857142857143
Smarkets,2,0.02857142857142857,44.57142857142857
Matchbook,1,0.014285714285714285,22.285714285714285
BetFair,1,0.014285714285714285,22.285714285714285
